Alpha_144: 0.014776650173043412, Validation Accuracy: 0.5640
Alpha_145: 0.01458335270571462, Validation Accuracy: 0.4995
Alpha_146: 0.014654389886314461, Validation Accuracy: 0.6855
Alpha_147: 0.014416370555663789, Validation Accuracy: 0.4995
Alpha_148: 0.014374923814986946, Validation Accuracy: 0.5640
Alpha_149: 0.014171200060793192, Validation Accuracy: 0.4995
Alpha_150: 0.014186313425758297, Validation Accuracy: 0.6855
Alpha_151: 0.013983852960057117, Validation Accuracy: 0.5000
Alpha_152: 0.013970651205579308, Validation Accuracy: 0.5640
Alpha_153: 0.013781791287042336, Validation Accuracy: 0.4995
Alpha_154: 0.013770403371187085, Validation Accuracy: 0.6855
Alpha_155: 0.013579313619005086, Validation Accuracy: 0.5000
Alpha_156: 0.013591765594490544, Validation Accuracy: 0.5640
Alpha_157: 0.013413177164813427, Validation Accuracy: 0.4995
Alpha_158: 0.013377438553962484, Validation Accuracy: 0.6855
Alpha_159: 0.013182566001536422, Validation Accuracy: 0.4995
Alpha_160: 0.013218651492317043, Validation Accuracy: 0.5640
Alpha_161: 0.013064103366619605, Validation Accuracy: 0.4995
Alpha_162: 0.013192023736010278, Validation Accuracy: 0.5230
Alpha_163: 0.010293011339870876, Validation Accuracy: 0.6855
Alpha_164: 0.012849186681002236, Validation Accuracy: 0.5000
Alpha_165: 0.01292874621784374, Validation Accuracy: 0.5640
Alpha_166: 0.012782496837571908, Validation Accuracy: 0.4995
Alpha_167: 0.012681805770822247, Validation Accuracy: 0.6855
Alpha_168: 0.012499215407672988, Validation Accuracy: 0.4995
Alpha_169: 0.012621944608783452, Validation Accuracy: 0.5640
Alpha_170: 0.01246460875665557, Validation Accuracy: 0.4995
Alpha_171: 0.012321943014311741, Validation Accuracy: 0.6855
Alpha_172: 0.012169392186428669, Validation Accuracy: 0.5000
Alpha_173: 0.012309602250920353, Validation Accuracy: 0.5640
Alpha_174: 0.01216218266211393, Validation Accuracy: 0.4995
Alpha_175: 0.012016034338393563, Validation Accuracy: 0.5640
Alpha_176: 0.01187335688919921, Validation Accuracy: 0.4995
Alpha_177: 0.012003825535162473, Validation Accuracy: 0.6855
Alpha_178: 0.011859405234246709, Validation Accuracy: 0.5000
Alpha_179: 0.011732923863668566, Validation Accuracy: 0.5640
Alpha_180: 0.011706072693708918, Validation Accuracy: 0.5735
Alpha_181: 0.009951832966444309, Validation Accuracy: 0.6855
Alpha_182: 0.011639921303538959, Validation Accuracy: 0.4995
Alpha_183: 0.01165985931800786, Validation Accuracy: 0.5640
Alpha_184: 0.011541435575470908, Validation Accuracy: 0.4995
Alpha_185: 0.01150031483628237, Validation Accuracy: 0.6855
Alpha_186: 0.011353041801780742, Validation Accuracy: 0.5000
Alpha_187: 0.011394085579021634, Validation Accuracy: 0.5640
Alpha_188: 0.01128195315910405, Validation Accuracy: 0.4995
Alpha_189: 0.0112206661851782, Validation Accuracy: 0.6855
Alpha_190: 0.0110745988657767, Validation Accuracy: 0.4995
Alpha_191: 0.011156623906269312, Validation Accuracy: 0.5640
Alpha_192: 0.01103352199992671, Validation Accuracy: 0.4995
Alpha_193: 0.010932297866290153, Validation Accuracy: 0.6855
Alpha_194: 0.010813228330351692, Validation Accuracy: 0.5000
Alpha_195: 0.010912984542699606, Validation Accuracy: 0.5640
Alpha_196: 0.010795783207978447, Validation Accuracy: 0.4995
Alpha_197: 0.010680474686954013, Validation Accuracy: 0.5640
Alpha_198: 0.01056760341974228, Validation Accuracy: 0.4995
Alpha_199: 0.010678293679661999, Validation Accuracy: 0.6855
Alpha_200: 0.010564567262982416, Validation Accuracy: 0.5000
Alpha_201: 0.010456855841691964, Validation Accuracy: 0.5640
Alpha_202: 0.010349317743139226, Validation Accuracy: 0.4995
Alpha_203: 0.01043487386147789, Validation Accuracy: 0.6855
Alpha_204: 0.010312450255572873, Validation Accuracy: 0.4995
Alpha_205: 0.010229290370789698, Validation Accuracy: 0.5640
Alpha_206: 0.01014013016791252, Validation Accuracy: 0.4995
Alpha_207: 0.01020181190979741, Validation Accuracy: 0.6855
Alpha_208: 0.010084297864598357, Validation Accuracy: 0.5000
Alpha_209: 0.010024459211614462, Validation Accuracy: 0.5640
Alpha_210: 0.009939221689245232, Validation Accuracy: 0.4995
Alpha_211: 0.009978489461296952, Validation Accuracy: 0.6855
Alpha_212: 0.009860277866887306, Validation Accuracy: 0.4995
Alpha_213: 0.009841769723714654, Validation Accuracy: 0.5640
Alpha_214: 0.009745850243167521, Validation Accuracy: 0.4995
Alpha_215: 0.009744769377018556, Validation Accuracy: 0.6855
Alpha_216: 0.009650663528419246, Validation Accuracy: 0.5000
Alpha_217: 0.009652237284323392, Validation Accuracy: 0.5640
Alpha_218: 0.009559910940265379, Validation Accuracy: 0.5000
Alpha_219: 0.009539857892909665, Validation Accuracy: 0.6855
Alpha_220: 0.00944966654360495, Validation Accuracy: 0.4995
Alpha_221: 0.009469608001748127, Validation Accuracy: 0.5640
Alpha_222: 0.009380773127061053, Validation Accuracy: 0.4995
Alpha_223: 0.009342734936121231, Validation Accuracy: 0.6855
Alpha_224: 0.009242818411336534, Validation Accuracy: 0.5000
Alpha_225: 0.009280635400155389, Validation Accuracy: 0.5640
Alpha_226: 0.00920853211173858, Validation Accuracy: 0.4995
Alpha_227: 0.009153204212910434, Validation Accuracy: 0.6855
Alpha_228: 0.009111336764043635, Validation Accuracy: 0.5495
Alpha_229: 0.006692022611233795, Validation Accuracy: 0.5640
Alpha_230: 0.009234736680641127, Validation Accuracy: 0.4995
Alpha_231: 0.009131821768102658, Validation Accuracy: 0.5640
Alpha_232: 0.009057607962808798, Validation Accuracy: 0.4995
Alpha_233: 0.009016035284132133, Validation Accuracy: 0.6855
Alpha_234: 0.008922502083417718, Validation Accuracy: 0.5000
Alpha_235: 0.00896377494752607, Validation Accuracy: 0.5640
Alpha_236: 0.008896919946466016, Validation Accuracy: 0.4995
Alpha_237: 0.00883873732885397, Validation Accuracy: 0.6855
Alpha_238: 0.008748549965466217, Validation Accuracy: 0.5000
Alpha_239: 0.008806132929707373, Validation Accuracy: 0.5640
Alpha_240: 0.00874182686574281, Validation Accuracy: 0.4995
Alpha_241: 0.008667931865399875, Validation Accuracy: 0.6855
Alpha_242: 0.008575999434326234, Validation Accuracy: 0.4995
Alpha_243: 0.008666309745930443, Validation Accuracy: 0.5640
Alpha_244: 0.008591848279355016, Validation Accuracy: 0.4995
Alpha_245: 0.00851865549811318, Validation Accuracy: 0.5640
Alpha_246: 0.008446699251261184, Validation Accuracy: 0.4995
Alpha_247: 0.008486134120024032, Validation Accuracy: 0.6855
Alpha_248: 0.008406556034956872, Validation Accuracy: 0.4995
Alpha_249: 0.008368145038636046, Validation Accuracy: 0.5640
Alpha_250: 0.008306705909899353, Validation Accuracy: 0.4995
Alpha_251: 0.008327597145648017, Validation Accuracy: 0.6855
Alpha_252: 0.00824674913359816, Validation Accuracy: 0.5000
Alpha_253: 0.00822655526300981, Validation Accuracy: 0.5640
Alpha_254: 0.00817133690393575, Validation Accuracy: 0.4995
Alpha_255: 0.008174551536874759, Validation Accuracy: 0.6855
Alpha_256: 0.008096294189437801, Validation Accuracy: 0.5000
Alpha_257: 0.008093468920997549, Validation Accuracy: 0.5640
Alpha_258: 0.008040305414059047, Validation Accuracy: 0.4995
Alpha_259: 0.008026725442706831, Validation Accuracy: 0.6855
Alpha_260: 0.007946366221642133, Validation Accuracy: 0.4995
Alpha_261: 0.007976361192591057, Validation Accuracy: 0.5640
Alpha_262: 0.00791324099619332, Validation Accuracy: 0.4995
Alpha_263: 0.007867492280548333, Validation Accuracy: 0.6855
Alpha_264: 0.007798297997652434, Validation Accuracy: 0.4995
Alpha_265: 0.007843632144307375, Validation Accuracy: 0.5640
Alpha_266: 0.0077902231337749215, Validation Accuracy: 0.4995
Alpha_267: 0.0077300034731305626, Validation Accuracy: 0.5640
Alpha_268: 0.007670707703978374, Validation Accuracy: 0.4995
Alpha_269: 0.00772979360279253, Validation Accuracy: 0.6855
Alpha_270: 0.007661665245784725, Validation Accuracy: 0.5000
Alpha_271: 0.007603763275818622, Validation Accuracy: 0.5640
Alpha_272: 0.007555077321302197, Validation Accuracy: 0.4995
Alpha_273: 0.007596382000538025, Validation Accuracy: 0.6855
Alpha_274: 0.0075279894047355035, Validation Accuracy: 0.5000
Alpha_275: 0.007487579828502492, Validation Accuracy: 0.5640
Alpha_276: 0.007442912863928443, Validation Accuracy: 0.4995
Alpha_277: 0.007467222609636443, Validation Accuracy: 0.6855
Alpha_278: 0.007400930055707704, Validation Accuracy: 0.5000
Alpha_279: 0.007377243058331976, Validation Accuracy: 0.5640
Alpha_280: 0.007334026146884637, Validation Accuracy: 0.4995
Alpha_281: 0.007342120759751206, Validation Accuracy: 0.6855
Alpha_282: 0.007273314613224572, Validation Accuracy: 0.4995
Alpha_283: 0.007280769188480462, Validation Accuracy: 0.5640
Alpha_284: 0.007228141832946011, Validation Accuracy: 0.4995
Alpha_285: 0.0072056716572072455, Validation Accuracy: 0.6855
Alpha_286: 0.007146638773272276, Validation Accuracy: 0.4995
Alpha_287: 0.00716902386681561, Validation Accuracy: 0.5640
Alpha_288: 0.007125352020216246, Validation Accuracy: 0.4995
Alpha_289: 0.007088381838015814, Validation Accuracy: 0.6855
Alpha_290: 0.007030201633761562, Validation Accuracy: 0.5000
Alpha_291: 0.007066879570024169, Validation Accuracy: 0.5640
Alpha_292: 0.007025454283014604, Validation Accuracy: 0.4995
Alpha_293: 0.006976440816249648, Validation Accuracy: 0.5640
Alpha_294: 0.006928106512481488, Validation Accuracy: 0.4995
Alpha_295: 0.006974726641297239, Validation Accuracy: 0.6855
Alpha_296: 0.006916199561590969, Validation Accuracy: 0.5000
Alpha_297: 0.006870441151536938, Validation Accuracy: 0.5640
Alpha_298: 0.006833654057555743, Validation Accuracy: 0.4995
Alpha_299: 0.0068642998278085204, Validation Accuracy: 0.6855
Alpha_300: 0.006807342775536678, Validation Accuracy: 0.5000
